미세먼지농도
[검색조건]
지점명 : , 자료구분:일자료 , 기간 : 20160101 ~ 20181231

지점번호,지점명,일자,미세먼지농도(㎍/㎥)
156,광주,2016-01-20,22
160,부산(레),2016-01-20,24
169,흑산도,2016-01-20,19
185,고산,2016-01-20,16
192,진주,2016-01-20,21
201,강화,2016-01-20,33
229,북격렬비도 *,2016-01-20,23
232,천안,2016-01-20,45
268,진도군,2016-01-20,19
273,문경,2016-01-20,28
501,연평도,2016-01-20,28
90,속초,2016-01-21,33
94,광덕산,2016-01-21,27
100,대관령,2016-01-21,21
101,춘천,2016-01-21,55
102,백령도,2016-01-21,18
108,서울,2016-01-21,47
115,울릉도독도(감),2016-01-21,12
116,관악산,2016-01-21,39
119,수원,2016-01-21,44
121,영월,2016-01-21,45
130,울진,2016-01-21,25
132,안면도(감),2016-01-21,26
135,추풍령,2016-01-21,33
136,안동,2016-01-21,42
140,군산,2016-01-21,31
143,대구,2016-01-21,33
146,전주,2016-01-21,
152,울산,2016-01-21,26
156,광주,2016-01-21,24
160,부산(레),2016-01-21,21
169,흑산도,2016-01-21,17
185,고산,2016-01-21,18
192,진주,2016-01-21,22
201,강화,2016-01-21,45
229,북격렬비도 *,2016-01-21,19
232,천안,2016-01-21,48
268,진도군,2016-01-21,21
273,문경,2016-01-21,37
501,연평도,2016-01-21,25
90,속초,2016-01-22,28
94,광덕산,2016-01-22,26
100,대관령,2016-01-22,24
101,춘천,2016-01-22,48
102,백령도,2016-01-22,19
108,서울,2016-01-22,49
115,울릉도독도(감),2016-01-22,8
116,관악산,2016-01-22,35
119,수원,2016-01-22,37
121,영월,2016-01-22,43
130,울진,2016-01-22,23
132,안면도(감),2016-01-22,18
135,추풍령,2016-01-22,27
136,안동,2016-01-22,39
140,군산,2016-01-22,26
143,대구,2016-01-22,27
146,전주,2016-01-22,
152,울산,2016-01-22,24
156,광주,2016-01-22,19
160,부산(레),2016-01-22,20
169,흑산도,2016-01-22,21
185,고산,2016-01-22,20
192,진주,2016-01-22,18
201,강화,2016-01-22,33
229,북격렬비도 *,2016-01-22,18
232,천안,2016-01-22,43
268,진도군,2016-01-22,16
273,문경,2016-01-22,28
501,연평도,2016-01-22,19
90,속초,2016-01-23,19
94,광덕산,2016-01-23,26
100,대관령,2016-01-23,26
101,춘천,2016-01-23,29
102,백령도,2016-01-23,21
108,서울,2016-01-23,32
115,울릉도독도(감),2016-01-23,17
116,관악산,2016-01-23,25
119,수원,2016-01-23,33
121,영월,2016-01-23,26
130,울진,2016-01-23,23
132,안면도(감),2016-01-23,19
135,추풍령,2016-01-23,24
136,안동,2016-01-23,28
140,군산,2016-01-23,23
143,대구,2016-01-23,25
146,전주,2016-01-23,18
152,울산,2016-01-23,26
156,광주,2016-01-23,23
160,부산(레),2016-01-23,30
169,흑산도,2016-01-23,22
185,고산,2016-01-23,24
192,진주,2016-01-23,21
201,강화,2016-01-23,32
229,북격렬비도 *,2016-01-23,25
232,천안,2016-01-23,26
268,진도군,2016-01-23,22
273,문경,2016-01-23,26
501,연평도,2016-01-23,41
90,속초,2016-01-24,28
94,광덕산,2016-01-24,38
100,대관령,2016-01-24,28
101,춘천,2016-01-24,42
102,백령도,2016-01-24,19
108,서울,2016-01-24,37
115,울릉도독도(감),2016-01-24,
116,관악산,2016-01-24,33
119,수원,2016-01-24,37
121,영월,2016-01-24,31
130,울진,2016-01-24,20
132,안면도(감),2016-01-24,19
135,추풍령,2016-01-24,23
136,안동,2016-01-24,29
140,군산,2016-01-24,20
