"","social_date.date","social_date.blog","social_date.twitter","social_date.news","social_date.total"
"692","2017-11-22",1082,1741,25,2848
"693","2017-11-23",1133,1580,61,2774
"694","2017-11-24",1054,1674,53,2781
"695","2017-11-25",894,1660,44,2598
"696","2017-11-26",1086,1860,52,2998
"697","2017-11-27",1293,1864,113,3270
"698","2017-11-28",1145,1681,123,2949
"699","2017-11-29",1117,1467,78,2662
"700","2017-11-30",1077,1195,67,2339
"701","2017-12-01",1018,1189,63,2270
"702","2017-12-02",948,1268,56,2272
"703","2017-12-03",1136,1538,47,2721
"704","2017-12-04",1365,1664,74,3103
"705","2017-12-05",1145,1743,46,2934
"706","2017-12-06",1170,1424,65,2659
"707","2017-12-07",1143,1570,85,2798
"708","2017-12-08",1048,1443,52,2543
"709","2017-12-09",961,2893,47,3901
"710","2017-12-10",1136,2777,47,3960
"711","2017-12-11",1286,2642,85,4013
"712","2017-12-12",1129,2281,55,3465
"713","2017-12-13",1166,2270,36,3472
"714","2017-12-14",1163,1853,78,3094
"715","2017-12-15",1067,1823,85,2975
"716","2017-12-16",938,2756,125,3819
"717","2017-12-17",1048,2976,56,4080
"718","2017-12-18",1252,2084,103,3439
"719","2017-12-19",1146,1996,87,3229
"720","2017-12-20",1142,2385,102,3629
"721","2017-12-21",1112,1707,89,2908
"722","2017-12-22",1190,2296,108,3594
"723","2017-12-23",1063,3060,105,4228
"724","2017-12-24",1212,4115,65,5392
"725","2017-12-25",1523,3934,66,5523
"726","2017-12-26",1676,2450,53,4179
"727","2017-12-27",1410,2439,56,3905
"728","2017-12-28",1266,2473,93,3832
"729","2017-12-29",1147,2364,48,3559
"730","2017-12-30",1069,2070,57,3196
"731","2017-12-31",1086,2187,20,3293
"732","2018-01-01",1150,2044,137,3331
"733","2018-01-02",1431,1665,63,3159
"734","2018-01-03",1341,2207,76,3624
"735","2018-01-04",1284,2209,95,3588
"736","2018-01-05",1169,2342,119,3630
"737","2018-01-06",1118,2313,48,3479
"738","2018-01-07",1257,2449,36,3742
"739","2018-01-08",1480,2125,104,3709
"740","2018-01-09",1333,2304,73,3710
"741","2018-01-10",1239,2029,36,3304
"742","2018-01-11",1227,1617,104,2948
"743","2018-01-12",1194,1715,118,3027
"744","2018-01-13",992,1689,49,2730
"745","2018-01-14",1170,1762,44,2976
"746","2018-01-15",1532,1643,67,3242
"747","2018-01-16",1145,1627,75,2847
"748","2018-01-17",1335,1740,81,3156
"749","2018-01-18",1278,1734,55,3067
"750","2018-01-19",1247,1881,66,3194
"751","2018-01-20",1045,1617,48,2710
"752","2018-01-21",1175,1803,40,3018
"753","2018-01-22",1446,1700,68,3214
"754","2018-01-23",1360,1637,57,3054
"755","2018-01-24",1254,1586,45,2885
"756","2018-01-25",1202,1443,73,2718
"757","2018-01-26",1154,1568,174,2896
"758","2018-01-27",1010,1647,28,2685
"759","2018-01-28",1241,1841,37,3119
"760","2018-01-29",1481,1793,57,3331
"761","2018-01-30",1374,1980,83,3437
"762","2018-01-31",1230,2029,70,3329
"763","2018-02-01",1162,1741,108,3011
"764","2018-02-02",1180,1642,69,2891
"765","2018-02-03",1067,1596,80,2743
"766","2018-02-04",1238,1735,46,3019
"767","2018-02-05",1477,1602,93,3172
"768","2018-02-06",1297,1469,68,2834
"769","2018-02-07",1179,1657,72,2908
"770","2018-02-08",1216,1821,99,3136
"771","2018-02-09",1162,1629,151,2942
"772","2018-02-10",1004,1526,35,2565
"773","2018-02-11",1208,1646,41,2895
"774","2018-02-12",1365,1690,96,3151
"775","2018-02-13",1252,1721,106,3079
"776","2018-02-14",1224,1802,76,3102
"777","2018-02-15",1046,1565,16,2627
"778","2018-02-16",780,1775,34,2589
"779","2018-02-17",838,1790,43,2671
"780","2018-02-18",1133,1564,49,2746
"781","2018-02-19",1368,1255,71,2694
"782","2018-02-20",1181,1636,23,2840
"783","2018-02-21",1220,1414,33,2667
"784","2018-02-22",1217,1357,201,2775
"785","2018-02-23",1126,1424,29,2579
"786","2018-02-24",527,1555,16,2098
"787","2018-02-25",896,1239,17,2152
"788","2018-02-26",1426,1511,72,3009
"789","2018-02-27",1432,1660,162,3254
"790","2018-02-28",1269,1691,102,3062
"791","2018-03-01",1231,1779,44,3054
"792","2018-03-02",1265,1598,73,2936
"793","2018-03-03",1104,1989,36,3129
"794","2018-03-04",1282,2024,15,3321
"795","2018-03-05",1406,1959,115,3480
"796","2018-03-06",1148,1770,127,3045
"797","2018-03-07",1160,1733,153,3046
"798","2018-03-08",1170,1645,90,2905
"799","2018-03-09",532,1505,111,2148
"800","2018-03-10",800,1987,29,2816
"801","2018-03-11",1250,1406,39,2695
"802","2018-03-12",1512,1873,100,3485
"803","2018-03-13",1304,1792,89,3185
"804","2018-03-14",1403,2014,73,3490
"805","2018-03-15",1238,1324,63,2625
"806","2018-03-16",1166,1620,86,2872
"807","2018-03-17",1083,1997,54,3134
"808","2018-03-18",1284,1897,28,3209
"809","2018-03-19",1531,1796,73,3400
"810","2018-03-20",1337,1780,59,3176
"811","2018-03-21",1317,1872,111,3300
"812","2018-03-22",1320,1679,134,3133
"813","2018-03-23",1262,1709,62,3033
"814","2018-03-24",1157,1906,95,3158
"815","2018-03-25",1420,1676,25,3121
"816","2018-03-26",1562,2171,63,3796
"817","2018-03-27",1332,2349,176,3857
"818","2018-03-28",1256,1905,141,3302
"819","2018-03-29",1364,1741,89,3194
"820","2018-03-30",1396,3510,69,4975
"821","2018-03-31",1296,1761,22,3079
"822","2018-04-01",1567,2028,42,3637
"823","2018-04-02",1770,1954,65,3789
"824","2018-04-03",1685,2006,101,3792
"825","2018-04-04",1663,2025,86,3774
"826","2018-04-05",1582,2172,81,3835
"827","2018-04-06",1474,1982,54,3510
"828","2018-04-07",1359,1773,91,3223
"829","2018-04-08",1508,1703,110,3321
"830","2018-04-09",1011,1796,127,2934
"831","2018-04-10",1003,2300,71,3374
"832","2018-04-11",1462,1894,168,3524
"833","2018-04-12",1475,1465,87,3027
"834","2018-04-13",1503,1382,118,3003
"835","2018-04-14",1331,1471,139,2941
"836","2018-04-15",1572,1680,90,3342
"837","2018-04-16",1716,1659,97,3472
"838","2018-04-17",1505,1586,106,3197
"839","2018-04-18",1555,1707,133,3395
"840","2018-04-19",1524,1609,134,3267
"841","2018-04-20",1509,1721,129,3359
"842","2018-04-21",1250,1890,51,3191
"843","2018-04-22",1574,1896,84,3554
"844","2018-04-23",1745,1624,80,3449
"845","2018-04-24",1625,1636,143,3404
"846","2018-04-25",1466,1720,137,3323
"847","2018-04-26",1272,1605,93,2970
"848","2018-04-27",1440,1494,76,3010
"849","2018-04-28",1309,1845,48,3202
"850","2018-04-29",885,1947,74,2906
"851","2018-04-30",1230,1669,89,2988
"852","2018-05-01",1712,1388,60,3160
"853","2018-05-02",1668,1500,85,3253
"854","2018-05-03",1573,1469,80,3122
"855","2018-05-04",1486,1468,69,3023
"856","2018-05-05",1413,1632,43,3088
"857","2018-05-06",1507,1239,33,2779
"858","2018-05-07",1669,1400,57,3126
"859","2018-05-08",1682,1522,90,3294
"860","2018-05-09",1666,1029,119,2814
"861","2018-05-10",1569,1375,137,3081
"862","2018-05-11",1553,1665,110,3328
"863","2018-05-12",1252,1014,59,2325
"864","2018-05-13",1390,1347,42,2779
"865","2018-05-14",1671,1561,91,3323
"866","2018-05-15",1590,1402,193,3185
"867","2018-05-16",1524,1269,131,2924
"868","2018-05-17",1547,1381,131,3059
"869","2018-05-18",633,1314,114,2061
"870","2018-05-19",1063,1562,80,2705
"871","2018-05-20",1611,1421,65,3097
"872","2018-05-21",1848,1464,114,3426
"873","2018-05-22",1565,1289,35,2889
"874","2018-05-23",1768,1202,67,3037
"875","2018-05-24",1559,1164,56,2779
"876","2018-05-25",1513,1189,74,2776
"877","2018-05-26",1356,1463,57,2876
"878","2018-05-27",1557,1508,42,3107
"879","2018-05-28",2731,1505,99,4335
"880","2018-05-29",1589,1413,101,3103
"881","2018-05-30",1554,1361,115,3030
"882","2018-05-31",1529,1131,202,2862
"883","2018-06-01",1562,1184,65,2811
"884","2018-06-02",1263,539,61,1863
"885","2018-06-03",1505,1070,52,2627
"886","2018-06-04",1690,1338,110,3138
"887","2018-06-05",1493,1030,62,2585
"888","2018-06-06",1437,1472,81,2990
"889","2018-06-07",1752,1365,124,3241
"890","2018-06-08",1590,1473,130,3193
"891","2018-06-09",1349,1028,57,2434
"892","2018-06-10",1492,1226,22,2740
"893","2018-06-11",1656,1045,56,2757
"894","2018-06-12",1429,1049,73,2551
"895","2018-06-13",1397,679,59,2135
"896","2018-06-14",1677,1150,135,2962
"897","2018-06-15",1528,1075,106,2709
"898","2018-06-16",1435,1250,55,2740
"899","2018-06-17",1470,1181,33,2684
"900","2018-06-18",1673,1418,117,3208
"901","2018-06-19",1516,1671,100,3287
"902","2018-06-20",1486,1274,80,2840
"903","2018-06-21",1519,1195,212,2926
"904","2018-06-22",1512,995,140,2647
"905","2018-06-23",1359,1079,40,2478
"906","2018-06-24",1420,1130,50,2600
"907","2018-06-25",1680,1291,79,3050
"908","2018-06-26",1605,1465,58,3128
"909","2018-06-27",1406,1491,88,2985
"910","2018-06-28",1324,1003,100,2427
"911","2018-06-29",1444,1339,72,2855
"912","2018-06-30",1259,1286,22,2567
"913","2018-07-01",1530,1678,99,3307
"914","2018-07-02",1654,1684,118,3456
"915","2018-07-03",1555,1596,90,3241
